claim_id,product_category,product_age_months,warranty_period_months,receipt_available,serial_number_valid,damage_type,repair_history,purchase_price,claim_amount,days_since_purchase,claim_status
1,Tablet,6,36,0,0,Water Damage,3,238.08,203.81,177,Manual Review
2,Refrigerator,1,12,1,1,Electrical Failure,1,1555.25,804.01,18,Valid
3,TV,2,24,1,1,Electrical Failure,1,1679.28,606.95,59,Valid
4,Laptop,33,24,0,1,Physical Damage,3,786.25,582.17,998,Manual Review
5,Camera,47,36,0,0,Unknown,1,1638.22,1011.69,1421,Invalid
6,Laptop,20,24,1,1,Electrical Failure,2,2379.13,293.22,590,Valid
7,Tablet,44,24,0,0,Battery Failure,0,627.78,474.5,1325,Manual Review
8,Headphones,42,24,0,0,Water Damage,4,373.83,122.41,1268,Invalid
9,Smartphone,7,12,1,1,Battery Failure,0,1188.16,422.33,225,Valid
10,Headphones,3,12,1,1,Battery Failure,2,490.57,315.52,105,Valid
11,Smartphone,40,36,0,0,Physical Damage,3,940.52,328.07,1209,Invalid
12,Camera,47,36,0,0,Unknown,4,868.03,705.02,1401,Manual Review
13,Camera,53,24,0,0,Water Damage,4,1292.93,738.66,1595,Invalid
14,TV,3,36,1,1,Electrical Failure,0,1765.56,1337.84,99,Valid
15,Camera,42,24,0,1,Physical Damage,0,644.32,638.6,1266,Manual Review
16,Tablet,33,24,0,1,Battery Failure,2,577.54,383.26,975,Manual Review
17,Tablet,19,24,1,1,Electrical Failure,2,751.35,362.98,563,Valid
18,Refrigerator,44,12,0,0,Unknown,4,527.48,138.38,1305,Invalid
19,TV,55,36,0,1,Unknown,2,747.94,258.22,1660,Invalid
20,Refrigerator,4,24,1,1,Electrical Failure,1,2404.68,1716.42,130,Valid
21,Refrigerator,32,12,1,0,Physical Damage,1,2183.17,2070.16,971,Manual Review
22,Camera,34,24,0,0,Physical Damage,3,1426.85,1045.33,1016,Invalid
23,Laptop,12,24,1,1,Manufacturing Defect,2,800.01,514.76,353,Valid
24,Smartphone,13,12,0,1,Screen Damage,1,521.96,399.84,381,Manual Review
25,Headphones,59,12,1,0,Unknown,3,491.42,327.36,1766,Manual Review
26,Headphones,26,36,0,0,Screen Damage,4,358.65,239.46,791,Manual Review
27,Laptop,5,24,0,0,Battery Failure,1,764.72,439.97,152,Manual Review
28,Tablet,7,12,1,1,Manufacturing Defect,0,469.33,229.3,200,Valid
29,TV,34,12,0,0,Unknown,4,829.5,431.2,1023,Invalid
30,Headphones,35,24,1,0,Physical Damage,2,329.86,215.29,1054,Invalid
31,Tablet,28,24,0,0,Unknown,2,210.7,154.18,845,Invalid
32,Refrigerator,45,12,0,1,Unknown,0,976.9,1046.05,1355,Manual Review
33,Camera,24,36,1,1,Manufacturing Defect,1,817.2,589.19,709,Manual Review
34,Refrigerator,38,24,0,0,Battery Failure,1,2487.94,2702.76,1143,Manual Review
35,Camera,18,24,1,1,Battery Failure,1,646.51,182.41,545,Valid
