claim_id,product_category,product_age_months,warranty_period_months,receipt_available,serial_number_valid,damage_type,repair_history,purchase_price,claim_amount,days_since_purchase,claim_status
37,Washing Machine,29,24,0,0,Water Damage,1,1589.39,384.07,871,Invalid
923,Headphones,27,36,0,0,Physical Damage,2,448.21,360.58,820,Manual Review
1399,Headphones,36,24,1,0,Physical Damage,2,41.27,4.17,1085,Invalid
99,Washing Machine,7,24,1,1,Software Failure,0,496.32,148.5,215,Valid
1161,Laptop,60,24,0,1,Unknown,4,1268.23,482.65,1804,Invalid
1278,Smartphone,7,12,1,1,Electrical Failure,0,1371.95,251.26,214,Valid
944,Refrigerator,25,24,0,1,Unknown,0,1820.7,1942.4,765,Manual Review
549,Laptop,33,12,1,0,Screen Damage,1,1597.77,994.49,1001,Manual Review
367,Washing Machine,11,12,1,1,Software Failure,2,1272.05,1020.81,334,Valid
570,Tablet,60,36,0,0,Physical Damage,3,892.64,142.57,1808,Invalid
1171,Tablet,7,12,1,1,Software Failure,2,826.92,473.6,213,Valid
51,Refrigerator,12,12,1,1,Manufacturing Defect,0,1760.74,1297.46,366,Valid
1482,Laptop,8,12,1,1,Unknown,2,1292.22,837.92,230,Manual Review
1449,Laptop,44,12,1,1,Software Failure,3,777.59,766.03,1305,Manual Review
1246,Headphones,30,24,0,0,Physical Damage,3,426.04,301.67,910,Manual Review
1064,Refrigerator,19,36,1,1,Software Failure,0,1225.09,210.64,572,Valid
287,Laptop,14,24,1,1,Manufacturing Defect,1,1645.58,1001.6,421,Valid
660,TV,38,24,0,0,Water Damage,4,529.58,237.39,1154,Invalid
778,Camera,27,24,0,0,Water Damage,2,1556.2,1220.88,805,Invalid
1179,Refrigerator,21,12,1,0,Physical Damage,1,1405.27,1213.7,618,Manual Review
1353,Smartphone,20,36,1,0,Battery Failure,3,542.96,498.21,589,Manual Review
605,Camera,39,24,0,0,Unknown,2,1885.11,361.74,1155,Invalid
1181,Washing Machine,28,24,1,1,Manufacturing Defect,4,739.86,488.56,838,Manual Review
