claim_id,split,claim_status,variation,file_path
2,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\2_v1.jpg
2,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\2_v2.jpg
3,train,Valid,1,output\tm_dataset\train\Valid_Claim\3_v1.jpg
3,train,Valid,2,output\tm_dataset\train\Valid_Claim\3_v2.jpg
4,train,Valid,1,output\tm_dataset\train\Valid_Claim\4_v1.jpg
4,train,Valid,2,output\tm_dataset\train\Valid_Claim\4_v2.jpg
5,train,Manual Review,1,output\tm_dataset\train\Manual_Review\5_v1.jpg
5,train,Manual Review,2,output\tm_dataset\train\Manual_Review\5_v2.jpg
6,train,Manual Review,1,output\tm_dataset\train\Manual_Review\6_v1.jpg
6,train,Manual Review,2,output\tm_dataset\train\Manual_Review\6_v2.jpg
8,train,Valid,1,output\tm_dataset\train\Valid_Claim\8_v1.jpg
8,train,Valid,2,output\tm_dataset\train\Valid_Claim\8_v2.jpg
9,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\9_v1.jpg
9,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\9_v2.jpg
10,train,Manual Review,1,output\tm_dataset\train\Manual_Review\10_v1.jpg
10,train,Manual Review,2,output\tm_dataset\train\Manual_Review\10_v2.jpg
13,train,Manual Review,1,output\tm_dataset\train\Manual_Review\13_v1.jpg
13,train,Manual Review,2,output\tm_dataset\train\Manual_Review\13_v2.jpg
14,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\14_v1.jpg
14,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\14_v2.jpg
15,train,Valid,1,output\tm_dataset\train\Valid_Claim\15_v1.jpg
15,train,Valid,2,output\tm_dataset\train\Valid_Claim\15_v2.jpg
17,train,Valid,1,output\tm_dataset\train\Valid_Claim\17_v1.jpg
17,train,Valid,2,output\tm_dataset\train\Valid_Claim\17_v2.jpg
18,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\18_v1.jpg
18,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\18_v2.jpg
